date,hour,energy_kWh
2012-06-01,01,1.011
2012-06-01,02,0.451
2012-06-01,03,0.505
2012-06-01,04,0.441
2012-06-01,05,0.468
2012-06-01,06,0.451
2012-06-01,07,0.464
2012-06-01,08,0.897
2012-06-01,09,1.066
2012-06-01,10,0.946
2012-06-01,11,0.465
2012-06-01,12,0.792
2012-06-01,13,0.468
2012-06-01,14,0.674
2012-06-01,15,0.503
2012-06-01,16,0.556
2012-06-01,17,0.925
2012-06-01,18,0.713
2012-06-01,19,0.597
2012-06-01,20,0.559
2012-06-01,21,0.752
2012-06-01,22,1.584
2012-06-01,23,4.188
2012-06-02,00,0.613
2012-06-02,01,0.442
2012-06-02,02,0.496
2012-06-02,03,0.484
2012-06-02,04,0.447
2012-06-02,05,0.460
2012-06-02,06,0.500
2012-06-02,07,0.696
2012-06-02,08,0.627
2012-06-02,09,0.961
2012-06-02,10,0.982
2012-06-02,11,0.840
2012-06-02,12,1.159
2012-06-02,13,2.213
2012-06-02,14,0.457
2012-06-02,15,0.479
2012-06-02,16,0.462
2012-06-02,17,0.473
2012-06-02,18,2.104
2012-06-02,19,1.536
2012-06-02,20,1.152
2012-06-02,21,0.935
2012-06-02,22,0.871
2012-06-02,23,0.942
2012-06-03,00,1.133
2012-06-03,01,1.428
2012-06-03,02,0.435
2012-06-03,03,0.504
2012-06-03,04,0.466
2012-06-03,05,0.449
2012-06-03,06,0.452
2012-06-03,07,0.477
2012-06-03,08,0.452
2012-06-03,09,0.627
2012-06-03,10,1.494
2012-06-03,11,0.937
2012-06-03,12,1.575
2012-06-03,13,1.123
2012-06-03,14,0.529
2012-06-03,15,0.630
2012-06-03,16,0.618
2012-06-03,17,1.965
2012-06-03,18,1.191
2012-06-03,19,1.220
2012-06-03,20,1.248
2012-06-03,21,1.274
2012-06-03,22,1.298
2012-06-03,23,1.319
2012-06-04,00,1.337
2012-06-04,01,1.351
2012-06-04,02,1.536
2012-06-04,03,1.540
2012-06-04,04,1.537
2012-06-04,05,1.527
2012-06-04,06,1.509
2012-06-04,07,1.482
2012-06-04,08,1.446
2012-06-04,09,1.399
2012-06-04,10,1.199
2012-06-04,11,1.290
2012-06-04,12,0.947
2012-06-04,13,0.626
2012-06-04,14,0.827
2012-06-04,15,0.766
2012-06-04,16,0.871
2012-06-04,17,0.761
2012-06-04,18,0.667
2012-06-04,19,0.624
2012-06-04,20,0.598
2012-06-04,21,0.586
2012-06-04,22,0.586
2012-06-04,23,0.598
2012-06-05,00,0.618
2012-06-05,01,0.644
2012-06-05,02,0.472
2012-06-05,03,0.457
2012-06-05,04,0.469
2012-06-05,05,0.974
2012-06-05,06,0.447
2012-06-05,07,1.265
2012-06-05,08,0.947
2012-06-05,09,0.634
2012-06-05,10,1.029
2012-06-05,11,0.606
2012-06-05,12,0.723
2012-06-05,13,0.627
2012-06-05,14,2.467
2012-06-05,15,0.918
2012-06-05,16,1.768
2012-06-05,17,2.221
2012-06-05,18,0.994
2012-06-05,19,1.063
2012-06-05,20,1.124
2012-06-05,21,1.177
2012-06-05,22,1.222
2012-06-05,23,1.261
2012-06-06,00,1.292
2012-06-06,01,1.316
2012-06-06,02,0.922
2012-06-06,03,0.930
2012-06-06,04,0.934
2012-06-06,05,0.934
2012-06-06,06,0.931
2012-06-06,07,0.924
2012-06-06,08,0.914
2012-06-06,09,0.900
2012-06-06,10,0.884
2012-06-06,11,0.865
2012-06-06,12,0.844
2012-06-06,13,0.820
2012-06-06,14,0.795
2012-06-06,15,0.767
2012-06-06,16,0.738
2012-06-06,17,0.707
2012-06-06,18,0.841
2012-06-06,19,0.942
2012-06-06,20,2.544
2012-06-06,21,3.186
2012-06-06,22,2.273
2012-06-06,23,1.515
2012-06-07,00,1.225
2012-06-07,01,0.475
2012-06-07,02,1.619
2012-06-07,03,1.492
2012-06-07,04,1.376
2012-06-07,05,1.273
2012-06-07,06,1.186
2012-06-07,07,1.117
2012-06-07,08,1.070
2012-06-07,09,1.046
2012-06-07,10,1.132
2012-06-07,11,0.628
2012-06-07,12,0.618
2012-06-07,13,0.968
2012-06-07,14,0.848
2012-06-07,15,0.800
2012-06-07,16,1.113
2012-06-07,17,1.059
2012-06-07,18,1.449
2012-06-07,19,1.425
2012-06-07,20,1.386
2012-06-07,21,1.336
2012-06-07,22,1.281
2012-06-07,23,1.227
2012-06-08,00,1.179
2012-06-08,01,1.143
2012-06-08,02,0.980
2012-06-08,03,1.122
2012-06-08,04,0.922
2012-06-08,05,0.883
2012-06-08,06,0.896
2012-06-08,07,1.004
2012-06-08,08,0.861
2012-06-08,09,1.151
2012-06-08,10,0.454
2012-06-08,11,0.496
2012-06-08,12,0.537
2012-06-08,13,0.574
2012-06-08,14,0.606
2012-06-08,15,0.632
2012-06-08,16,0.649
2012-06-08,17,0.655
2012-06-08,18,2.289
2012-06-08,19,0.900
2012-06-08,20,3.231
2012-06-08,21,1.782
2012-06-08,22,1.857
2012-06-08,23,1.972
2012-06-09,00,0.980
2012-06-09,01,0.620
2012-06-09,02,0.927
2012-06-09,03,0.853
2012-06-09,04,0.788
2012-06-09,05,0.732
2012-06-09,06,0.685
2012-06-09,07,0.647
2012-06-09,08,0.620
2012-06-09,09,0.604
2012-06-09,10,0.929
2012-06-09,11,1.301
2012-06-09,12,0.711
2012-06-09,13,0.962
2012-06-09,14,0.718
